trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,mean_late_val_acc,expected_accuracy_increase(%)
84,sharpen,0.349,horizontal-flip,0.813,RandomEracing,0.334,brighten,0.603,coarse-dropout,0.064,coarse-salt-pepper,0.817,crop,0.538,brighten,0.141,vertical-flip,0.049,dropout,0.67,0.14933333333333335,6.833333333333334
106,RandomEracing,0.308,brighten,0.856,add-to-hue-and-saturation,0.294,dropout,0.887,brighten,0.158,translate-y,0.019,horizontal-flip,0.698,RandomEracing,0.274,dropout,0.068,gaussian-blur,0.403,0.14566666666666667,6.466666666666667
133,gaussian-blur,0.978,gamma-contrast,0.783,horizontal-flip,0.166,brighten,0.428,coarse-dropout,0.087,horizontal-flip,0.927,sharpen,0.967,gamma-contrast,0.89,additive-gaussian-noise,0.217,rotate,0.295,0.14166666666666666,6.066666666666666
135,translate-y,0.007,clouds,0.256,RandomEracing,0.308,fog,0.086,coarse-dropout,0.326,translate-y,0.261,shear,0.935,RandomEracing,0.962,vertical-flip,0.089,RandomEracing,0.178,0.14033333333333334,5.933333333333334
260,coarse-salt-pepper,0.779,RandomEracing,0.929,coarse-salt-pepper,0.117,brighten,0.968,dropout,0.047,rotate,0.186,crop,0.058,horizontal-flip,0.105,coarse-salt-pepper,0.083,sharpen,0.858,0.13733333333333334,5.633333333333333
247,sharpen,0.979,horizontal-flip,0.873,gamma-contrast,0.598,coarse-salt-pepper,0.943,vertical-flip,0.299,crop,0.701,gamma-contrast,0.766,gaussian-blur,0.034,additive-gaussian-noise,0.012,horizontal-flip,0.096,0.1366666666666667,5.566666666666668
146,dropout,0.467,additive-gaussian-noise,0.273,dropout,0.177,brighten,0.988,coarse-dropout,0.96,gaussian-blur,0.317,vertical-flip,0.934,additive-gaussian-noise,0.158,crop,0.011,dropout,0.943,0.1366666666666667,5.566666666666668
238,vertical-flip,0.981,translate-y,0.345,RandomEracing,0.623,brighten,0.186,emboss,0.03,horizontal-flip,0.495,horizontal-flip,0.953,brighten,0.429,vertical-flip,0.075,additive-gaussian-noise,0.931,0.13566666666666669,5.466666666666669
285,RandomEracing,0.346,sharpen,0.836,add-to-hue-and-saturation,0.073,clouds,0.917,brighten,0.014,vertical-flip,0.324,crop,0.343,translate-x,0.165,dropout,0.033,brighten,0.882,0.13466666666666668,5.366666666666668
124,dropout,0.155,gaussian-blur,0.035,emboss,0.19,brighten,0.948,coarse-dropout,0.103,coarse-dropout,0.749,gamma-contrast,0.923,rotate,0.99,sharpen,0.248,crop,0.578,0.134,5.300000000000001
46,translate-x,0.495,brighten,0.876,gaussian-blur,0.384,brighten,0.824,shear,0.177,fog,0.369,translate-x,0.411,horizontal-flip,0.167,RandomEracing,0.082,shear,0.268,0.13366666666666668,5.266666666666668
250,horizontal-flip,0.716,brighten,0.838,emboss,0.198,rotate,0.985,crop,0.208,sharpen,0.418,crop,0.101,gaussian-blur,0.162,clouds,0.089,additive-gaussian-noise,0.399,0.13333333333333333,5.2333333333333325
112,gamma-contrast,0.155,gamma-contrast,0.899,translate-y,0.068,brighten,0.745,sharpen,0.006,vertical-flip,0.832,gamma-contrast,0.901,emboss,0.931,dropout,0.073,fog,0.507,0.13333333333333333,5.2333333333333325
194,crop,0.113,gamma-contrast,0.335,RandomEracing,0.426,coarse-dropout,0.305,coarse-dropout,0.594,horizontal-flip,0.449,additive-gaussian-noise,0.996,additive-gaussian-noise,0.172,vertical-flip,0.067,additive-gaussian-noise,0.175,0.13233333333333333,5.133333333333333
165,crop,0.031,brighten,0.259,dropout,0.099,brighten,0.834,crop,0.682,crop,0.421,brighten,0.685,gaussian-blur,0.464,coarse-salt-pepper,0.088,gaussian-blur,0.27,0.13233333333333333,5.133333333333333
142,horizontal-flip,0.56,translate-x,0.245,coarse-dropout,0.451,brighten,0.874,coarse-dropout,0.923,brighten,0.126,gamma-contrast,0.931,additive-gaussian-noise,0.894,gaussian-blur,0.136,rotate,0.624,0.132,5.1000000000000005
145,brighten,0.028,RandomEracing,0.808,RandomEracing,0.227,sharpen,0.034,coarse-dropout,0.563,emboss,0.449,sharpen,0.988,clouds,0.888,translate-x,0.142,crop,0.289,0.13166666666666668,5.066666666666668
85,sharpen,0.342,rotate,0.923,translate-y,0.48,emboss,0.049,coarse-dropout,0.153,rotate,0.79,sharpen,0.927,coarse-dropout,0.239,emboss,0.171,gamma-contrast,0.456,0.13133333333333333,5.033333333333332
11,horizontal-flip,0.11,emboss,0.178,rotate,0.329,additive-gaussian-noise,0.62,crop,0.621,sharpen,0.066,emboss,0.05,vertical-flip,0.239,sharpen,0.088,rotate,0.835,0.131,5.0
14,brighten,0.284,clouds,0.889,crop,0.344,rotate,0.923,coarse-salt-pepper,0.471,horizontal-flip,0.369,vertical-flip,0.133,RandomEracing,0.058,add-to-hue-and-saturation,0.482,emboss,0.448,0.13033333333333333,4.933333333333333
