trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,mean_late_val_acc,expected_accuracy_increase(%)
124,additive-gaussian-noise,0.022,gamma-contrast,0.927,coarse-dropout,0.042,brighten,0.128,brighten,0.363,gamma-contrast,0.747,crop,0.734,shear,0.201,crop,0.212,invert,0.878,0.5033333333333333,8.599999999999996
133,dropout,0.009,horizontal-flip,0.144,gamma-contrast,0.299,gamma-contrast,0.039,brighten,0.983,sharpen,0.393,emboss,0.718,fog,0.51,shear,0.251,emboss,0.404,0.5003333333333333,8.299999999999997
80,add-to-hue-and-saturation,0.66,translate-y,0.615,coarse-salt-pepper,0.339,gaussian-blur,0.001,gamma-contrast,0.836,clouds,0.887,invert,0.747,invert,0.006,horizontal-flip,0.206,gamma-contrast,0.993,0.49300000000000005,7.566666666666672
34,emboss,0.349,horizontal-flip,0.886,coarse-salt-pepper,0.118,translate-x,0.145,vertical-flip,0.945,add-to-hue-and-saturation,0.678,add-to-hue-and-saturation,0.959,gamma-contrast,0.892,sharpen,0.716,gamma-contrast,0.162,0.492,7.466666666666666
251,dropout,0.019,brighten,0.207,additive-gaussian-noise,0.057,brighten,0.077,crop,0.725,fog,0.915,gamma-contrast,0.907,crop,0.77,invert,0.257,brighten,0.643,0.48533333333333334,6.800000000000001
208,translate-x,0.021,crop,0.045,crop,0.163,fog,0.026,brighten,0.378,brighten,0.933,dropout,0.183,vertical-flip,0.413,brighten,0.181,horizontal-flip,0.53,0.48466666666666663,6.73333333333333
95,fog,0.076,coarse-salt-pepper,0.374,horizontal-flip,0.238,coarse-dropout,0.063,translate-y,0.633,shear,0.724,coarse-salt-pepper,0.754,vertical-flip,0.131,gaussian-blur,0.036,gamma-contrast,0.903,0.4843333333333333,6.699999999999995
17,sharpen,0.209,clouds,0.89,coarse-dropout,0.827,gaussian-blur,0.141,gamma-contrast,0.527,sharpen,0.937,coarse-salt-pepper,0.884,translate-y,0.99,add-to-hue-and-saturation,0.147,additive-gaussian-noise,0.467,0.48233333333333334,6.5
183,coarse-dropout,0.101,horizontal-flip,0.115,fog,0.83,coarse-dropout,0.081,translate-y,0.229,sharpen,0.91,coarse-dropout,0.876,vertical-flip,0.737,brighten,0.161,sharpen,0.319,0.48166666666666663,6.43333333333333
97,additive-gaussian-noise,0.167,rotate,0.802,vertical-flip,0.009,shear,0.108,coarse-dropout,0.322,sharpen,0.804,emboss,0.592,shear,0.319,invert,0.374,gamma-contrast,0.931,0.4796666666666667,6.233333333333335
12,coarse-dropout,0.882,gamma-contrast,0.907,vertical-flip,0.277,additive-gaussian-noise,0.146,invert,0.591,gaussian-blur,0.977,crop,0.749,translate-x,0.839,rotate,0.149,clouds,0.849,0.4796666666666667,6.233333333333335
164,rotate,0.056,crop,0.339,clouds,0.37,vertical-flip,0.057,brighten,0.429,rotate,0.461,gamma-contrast,0.743,invert,0.074,brighten,0.738,vertical-flip,0.661,0.47733333333333333,6.0
280,horizontal-flip,0.29,horizontal-flip,0.156,brighten,0.03,emboss,0.001,coarse-dropout,0.853,gamma-contrast,0.996,add-to-hue-and-saturation,0.77,rotate,0.617,gaussian-blur,0.37,gaussian-blur,0.599,0.47733333333333333,6.0
145,gaussian-blur,0.115,horizontal-flip,0.863,brighten,0.066,shear,0.141,brighten,0.996,brighten,0.659,coarse-salt-pepper,0.962,additive-gaussian-noise,0.623,horizontal-flip,0.455,coarse-dropout,0.428,0.47700000000000004,5.96666666666667
156,dropout,0.037,coarse-salt-pepper,0.351,additive-gaussian-noise,0.067,brighten,0.093,gamma-contrast,0.974,additive-gaussian-noise,0.185,shear,0.684,dropout,0.262,rotate,0.361,vertical-flip,0.874,0.47700000000000004,5.96666666666667
189,sharpen,0.043,invert,0.553,translate-y,0.105,coarse-dropout,0.022,gaussian-blur,0.094,crop,0.348,translate-y,0.736,clouds,0.043,horizontal-flip,0.158,horizontal-flip,0.645,0.47700000000000004,5.96666666666667
193,dropout,0.031,gaussian-blur,0.658,translate-x,0.046,fog,0.112,invert,0.684,brighten,0.649,rotate,0.101,shear,0.35,vertical-flip,0.153,gamma-contrast,0.785,0.4763333333333333,5.899999999999994
154,horizontal-flip,0.146,clouds,0.107,gamma-contrast,0.856,translate-x,0.081,coarse-dropout,0.057,sharpen,0.997,invert,0.718,crop,0.265,coarse-salt-pepper,0.489,invert,0.253,0.476,5.8666666666666645
52,coarse-dropout,0.197,translate-y,0.228,dropout,0.384,brighten,0.471,gaussian-blur,0.97,coarse-salt-pepper,0.922,translate-y,0.999,shear,0.374,sharpen,0.525,translate-y,0.008,0.476,5.8666666666666645
115,dropout,0.108,gamma-contrast,0.656,brighten,0.06,rotate,0.104,gamma-contrast,0.891,crop,0.487,clouds,0.137,sharpen,0.093,invert,0.139,additive-gaussian-noise,0.935,0.4749999999999999,5.766666666666659
