trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,mean_late_val_acc,expected_accuracy_increase(%)
23,translate-x,0.838,shear,0.392,horizontal-flip,0.154,shear,0.347,dropout,0.077,horizontal-flip,0.635,gamma-contrast,0.758,translate-y,0.908,horizontal-flip,0.881,RandomEracing,0.467,0.5099999999999999,8.466666666666656
128,RandomEracing,0.348,coarse-dropout,0.298,brighten,0.014,shear,0.084,horizontal-flip,0.764,horizontal-flip,0.876,clouds,0.071,vertical-flip,0.717,horizontal-flip,0.916,RandomEracing,0.797,0.5086666666666666,8.333333333333325
104,emboss,0.552,coarse-dropout,0.088,horizontal-flip,0.465,vertical-flip,0.193,shear,0.236,emboss,0.079,gamma-contrast,0.447,brighten,0.783,shear,0.91,vertical-flip,0.528,0.5073333333333333,8.199999999999996
115,gamma-contrast,0.861,coarse-dropout,0.302,crop,0.119,shear,0.153,coarse-dropout,0.332,emboss,0.932,dropout,0.553,translate-x,0.692,horizontal-flip,0.907,RandomEracing,0.542,0.501,7.566666666666666
141,horizontal-flip,0.382,crop,0.234,clouds,0.962,sharpen,0.006,translate-y,0.925,rotate,0.969,sharpen,0.895,horizontal-flip,0.475,horizontal-flip,0.264,RandomEracing,0.838,0.49899999999999994,7.36666666666666
155,sharpen,0.632,coarse-dropout,0.318,fog,0.149,coarse-salt-pepper,0.173,brighten,0.762,horizontal-flip,0.12,clouds,0.754,horizontal-flip,0.356,vertical-flip,0.737,RandomEracing,0.925,0.49833333333333335,7.300000000000001
120,translate-x,0.112,fog,0.233,horizontal-flip,0.136,sharpen,0.515,RandomEracing,0.065,fog,0.574,gamma-contrast,0.841,additive-gaussian-noise,0.045,invert,0.969,gaussian-blur,0.196,0.498,7.266666666666666
176,shear,0.01,emboss,0.229,crop,0.131,gamma-contrast,0.159,horizontal-flip,0.839,RandomEracing,0.927,RandomEracing,0.205,horizontal-flip,0.445,invert,0.502,emboss,0.979,0.49633333333333335,7.1000000000000005
151,additive-gaussian-noise,0.702,add-to-hue-and-saturation,0.084,horizontal-flip,0.162,sharpen,0.228,horizontal-flip,0.263,horizontal-flip,0.965,horizontal-flip,0.986,RandomEracing,0.402,crop,0.88,add-to-hue-and-saturation,0.68,0.49466666666666664,6.93333333333333
164,gamma-contrast,0.555,emboss,0.27,brighten,0.062,additive-gaussian-noise,0.063,emboss,0.639,additive-gaussian-noise,0.871,horizontal-flip,0.968,horizontal-flip,0.045,translate-x,0.558,RandomEracing,0.901,0.49466666666666664,6.93333333333333
278,gamma-contrast,0.797,translate-y,0.013,sharpen,0.399,additive-gaussian-noise,0.068,gamma-contrast,0.575,gamma-contrast,0.826,sharpen,0.991,emboss,0.134,invert,0.339,brighten,0.997,0.49300000000000005,6.766666666666671
160,invert,0.861,brighten,0.894,gaussian-blur,0.036,sharpen,0.499,emboss,0.514,horizontal-flip,0.305,crop,0.895,add-to-hue-and-saturation,0.922,gamma-contrast,0.78,gamma-contrast,0.489,0.49266666666666664,6.73333333333333
57,horizontal-flip,0.856,crop,0.205,clouds,0.137,sharpen,0.17,horizontal-flip,0.294,gamma-contrast,0.661,crop,0.996,crop,0.911,gaussian-blur,0.915,coarse-salt-pepper,0.683,0.492,6.666666666666665
39,horizontal-flip,0.79,gaussian-blur,0.408,vertical-flip,0.136,horizontal-flip,0.18,brighten,0.088,emboss,0.83,gamma-contrast,0.709,additive-gaussian-noise,0.901,RandomEracing,0.896,horizontal-flip,0.861,0.48533333333333334,6.0
172,clouds,0.861,gamma-contrast,0.432,brighten,0.075,crop,0.013,gamma-contrast,0.88,horizontal-flip,0.661,clouds,0.691,translate-x,0.948,emboss,0.757,RandomEracing,0.088,0.48500000000000004,5.96666666666667
231,fog,0.276,brighten,0.302,coarse-salt-pepper,0.028,emboss,0.058,horizontal-flip,0.678,gamma-contrast,0.933,clouds,0.085,horizontal-flip,0.482,coarse-dropout,0.703,RandomEracing,0.722,0.48500000000000004,5.96666666666667
42,horizontal-flip,0.859,shear,0.651,coarse-dropout,0.13,horizontal-flip,0.248,rotate,0.295,vertical-flip,0.746,rotate,0.423,crop,0.904,gamma-contrast,0.915,RandomEracing,0.705,0.484,5.8666666666666645
228,shear,0.253,shear,0.132,translate-x,0.224,vertical-flip,0.193,dropout,0.222,horizontal-flip,0.94,vertical-flip,0.097,RandomEracing,0.749,shear,0.708,coarse-dropout,0.442,0.4836666666666667,5.833333333333335
47,brighten,0.861,rotate,0.514,rotate,0.179,shear,0.249,translate-x,0.071,emboss,0.738,sharpen,0.344,horizontal-flip,0.966,emboss,0.872,crop,0.382,0.482,5.666666666666664
13,horizontal-flip,0.81,RandomEracing,0.427,crop,0.739,clouds,0.801,coarse-salt-pepper,0.068,brighten,0.988,translate-x,0.912,add-to-hue-and-saturation,0.606,horizontal-flip,0.492,brighten,0.621,0.48100000000000004,5.56666666666667
